Year,Area,ST 2,STrange HTML
2011,Birmingham,"Brd St, Birmingham",
2011,Birmingham,"Brd St, Birmingham",
2011,Birmingham,"Brd St, Birmingham",
2011,Birmingham,"Brd St, Birmingham",
2011,Birmingham,"Brd St, Birmingham",
2011,Birmingham,"Brd St, Birmingham",
2011,Birmingham,"Brd St, Birmingham",
2012,Birmingham,"Brd St, Birmingham",
2012,Birmingham,"Brd St, Birmingham",
2012,Birmingham,"Brd St, Birmingham",
2012,Birmingham,"Brd St, Birmingham",
2012,Birmingham,"Brd St, Birmingham",
2012,Birmingham,"Brd St, Birmingham",
2012,Birmingham,"Brd St, Birmingham",
2012,Birmingham,"Brd St, Birmingham",
2012,Birmingham,"Brd St, Birmingham",
2012,Birmingham,"Brd St, Birmingham",
2012,Birmingham,"Brd St, Birmingham",
2012,Birmingham,"Brd St, Birmingham",
2012,Birmingham,"Brd St, Birmingham",
2011,Birmingham,"Brd St, Birmingham.",
2011,NA,"Brd St, City Centre",
2011,NA,"Brd St, City Centre",
2011,NA,"Brd St, City Centre",
2011,NA,"Brd St, City Centre",
2011,NA,"Brd St, City Centre",
2011,NA,"Brd St, City Centre",
2011,NA,"Brd St, City Centre",
2011,NA,"Brd St, City Centre",
2011,NA,"Brd St, City Centre",
2011,NA,"Brd St, City Centre",
2011,NA,"Brd St, City Centre",
2011,NA,"Brd St, City Centre",
2012,NA,"Brd St, City Centre",
2012,NA,"Brd St, City Centre",
2012,NA,"Brd St, City Centre",
2012,NA,"Brd St, City Centre",
2012,NA,"Brd St, City Centre",
2012,NA,"Brd St, City Centre",
2012,NA,"Brd St, City Centre",
2012,NA,"Brd St, City Centre",
2012,NA,"Brd St, City Centre",
2012,NA,"Brd St, City Centre",
2012,NA,"Brd St, City Centre",
2012,NA,"Brd St, City Centre",
2012,NA,"Brd St, City Centre",
2012,NA,"Brd St, City Centre",
2012,NA,"Brd St, City Centre",
2012,NA,"Brd St, City Centre",
2012,NA,"Brd St, City Centre",
2012,NA,"Brd St, City Centre",
2012,NA,"Brd St, City Centre",
2012,NA,"Brd St, City Centre",
2012,NA,"Brd St, City Centre",
2012,NA,"Brd St, City Centre",
2011,NA,"Brd St, City Centre,",
2011,Birmingham,"Brd St, City Centre, Birmingham",
2011,Birmingham,"Brd St, City Centre, Birmingham",
2011,Birmingham,"Brd St, City Centre, Birmingham",
2011,Birmingham,"Brd St, City Centre, Birmingham",
2012,Birmingham,"Brd St, City Centre, Birmingham",
2011,NA,"Brd St, City Centre.",
2011,NA,"Brd St, City Centre.",
2012,NA,"Brd St, City Centre.",
2011,NA,"Brd St,  Os Gatecrasher",
2012,NA,"Brd St, O/S Big Bites",
2012,NA,"Brd St, W'Ton",
2011,NA,"Brd St, W'Ton.",
2011,Wolverhampton,"Brd St, Wolverhampton",
2011,Wolverhampton,"Brd St, Wolverhampton",
2012,Wolverhampton,"Brd St, Wolverhampton",
2012,Wolverhampton,"Brd St, Wolverhampton",
2011,NA,"Brd St , City Centre",
2011,NA,"Brdway, Stourbridge",
2011,NA,"Brdway, Stourbridge",
2012,Walsall,"Brdway North, Walsall",
2011,NA,"Brdway Plaza, Ladywood Middleway",
2011,NA,"Bromford Ln, Erdington, B'Ham",
2011,Birmingham,"Bromsgrove St, Birmingham",
2012,Birmingham,"Bromsgrove St, Birmingham",
2012,NA,"Bromsgrove St, City Centre",
2011,Walsall,"Brook Ln, Walsall Wood",
2011,NA,"Bullring, City Centre.",
2012,NA,"Bulls Head, Mosely",
2011,NA,"Bulls Head Ph, St Marys Row",&lt;html&gt;
2011,NA,"Burford Rd, Kingstanding",
2011,NA,"Burlesdon Walk, Wolves.",
2011,NA,"Burmese Way, Rowley Regis",
2011,Birmingham,"Burnhill Grove ,Weoley Castle ,Birmingham.",
2011,NA,"Bushbury Rd, Kitts Green",
2011,Dudley,"Bus Station, Dudley",
2012,NA,"Bus Station, Merry Hill Centre",
2012,Walsall,"Bus Station, St Paul'S, Walsall",
2012,Walsall,"Bus Station, St Pauls, Walsall.",
2011,Wolverhampton,"Bus Station, Wolverhampton",
2011,Wolverhampton,"Bus Station, Wolverhampton",
2011,Solihuil,"By St Alphedge Church, Solihull",
2011,NA,"Byland Way, Mosseley",
2012,Coventry,"Calcott House, Chace Ave, Coventry",
2011,NA,"Calshott Rd, Great Barr",
2012,NA,"Cambridge Ph, Arundel St",
2011,Wolverhampton,"Campion House, Heath Town, Wolverhampton",
2011,NA,"Canal Side, Soho Loop, Handsworth",
2012,NA,"Canalside, Ramada  Mailbox",
2011,NA,"Cape Hill, Smethwick",
2011,NA,"Cape Hill, Smethwick",
2012,NA,"Capilano Rd, Erdington",
2011,NA,"Carhampton Rd, Falcon Lodge, Sutton Colfield",
2011,NA,"Car Park, Avfc",
